bundle,downstream_accuracy_linear,downstream_accuracy_random_forest,downstream_accuracy_xgboost,downstream_average_precision_linear,downstream_average_precision_random_forest,downstream_average_precision_xgboost,downstream_balanced_accuracy_linear,downstream_balanced_accuracy_random_forest,downstream_balanced_accuracy_xgboost,downstream_f1_linear,downstream_f1_random_forest,downstream_f1_xgboost,downstream_roc_auc_linear,downstream_roc_auc_random_forest,downstream_roc_auc_xgboost,downstream_runtime_seconds,imputation_mae,imputation_nmae,imputation_nrmse,imputation_rmse,imputation_runtime_seconds,method,missing_fraction,pattern,seed,status,error
pattern_mar_logistic__frac_0p100__seed_2,0.9387755102040817,0.9285714285714286,0.9489795918367347,0.5990709653753132,0.6317471462593414,0.6061785983601392,0.6666666666666666,0.6111111111111112,0.7222222222222222,0.5,0.36363636363636365,0.6153846153846154,0.8926342072409488,0.9001248439450686,0.8913857677902621,0.7603995419922285,4.325534410302887,0.02457690005853913,0.054963249139095935,9.673531848480884,,soft_impute,0.1,mar_logistic,2,ok,
pattern_mar_logistic__frac_0p100__seed_2,0.9387755102040817,0.9183673469387755,0.9081632653061225,0.6151373064416543,0.5337014837014836,0.5865581948915282,0.6666666666666666,0.6054931335830211,0.649812734082397,0.5,0.3333333333333333,0.4,0.9001248439450686,0.8926342072409488,0.9275905118601747,0.7571489170077257,3.121459744550955,0.017735566730403152,0.03733378129882816,6.570745508593756,,tab_impute,0.1,mar_logistic,2,ok,
pattern_mar_logistic__frac_0p100__seed_3,0.8673469387755102,0.8571428571428571,0.826530612244898,0.4435367684006522,0.5078150658398336,0.35668353714302703,0.5939759036144578,0.5333333333333333,0.5152610441767068,0.3157894736842105,0.125,0.10526315789473684,0.7935742971887549,0.8763052208835341,0.8056224899598393,0.7158508750144392,32.79326386941849,0.13517421215753705,0.17018921694415323,41.287904030651575,,global_mean,0.1,mar_logistic,3,ok,
pattern_mar_logistic__frac_0p100__seed_3,0.8673469387755102,0.8571428571428571,0.826530612244898,0.4493525127012328,0.5290163512678725,0.39027449778280343,0.5666666666666667,0.5333333333333333,0.5152610441767068,0.23529411764705882,0.125,0.10526315789473684,0.7847389558232932,0.866265060240964,0.8321285140562249,0.7231432920088992,34.57310030079461,0.14251071846988708,0.17992244061160015,43.64918409237419,,row_mean,0.1,mar_logistic,3,ok,
pattern_mar_logistic__frac_0p100__seed_3,0.8775510204081632,0.8571428571428571,0.8469387755102041,0.6600211742660255,0.5403209263023868,0.41227925001161414,0.6,0.5333333333333333,0.6092369477911647,0.3333333333333333,0.125,0.34782608695652173,0.9044176706827309,0.8730923694779116,0.8321285140562249,0.7230182079947554,4.597131303246371,0.018949428290380755,0.045623364515595115,11.068228231483374,,soft_impute,0.1,mar_logistic,3,ok,
pattern_mar_logistic__frac_0p100__seed_3,0.8571428571428571,0.8367346938775511,0.826530612244898,0.5695491737972429,0.5042522740417478,0.42305698129736596,0.5606425702811245,0.5212851405622491,0.5152610441767068,0.2222222222222222,0.1111111111111111,0.10526315789473684,0.8626506024096385,0.8779116465863454,0.8353413654618473,0.7305624579894356,3.321170224048194,0.013689901995252243,0.035368045965056494,8.580287951122704,,tab_impute,0.1,mar_logistic,3,ok,
pattern_mar_logistic__frac_0p100__seed_4,0.8775510204081632,0.8775510204081632,0.8673469387755102,0.3657026392045233,0.6255844871139901,0.44837436692278454,0.6011904761904762,0.5714285714285714,0.5952380952380952,0.3333333333333333,0.25,0.3157894736842105,0.7193877551020408,0.8830782312925171,0.8282312925170068,0.7052463330328465,31.43133722767583,0.18934540498599897,0.23457347171674442,38.939196304979575,,global_mean,0.1,mar_logistic,4,ok,
pattern_mar_logistic__frac_0p100__seed_4,0.8775510204081632,0.8877551020408163,0.8775510204081632,0.3505638315296771,0.6057495492369441,0.48551443120927174,0.6011904761904762,0.6071428571428571,0.6309523809523809,0.3333333333333333,0.35294117647058826,0.4,0.6921768707482994,0.8681972789115647,0.8520408163265307,0.7235317499726079,33.38799961973994,0.20113252782975866,0.2487246530965659,41.28829241402994,,row_mean,0.1,mar_logistic,4,ok,
pattern_mar_logistic__frac_0p100__seed_4,0.8571428571428571,0.8673469387755102,0.8469387755102041,0.5146394228161145,0.5834132626613829,0.40681577559922977,0.5297619047619048,0.5357142857142857,0.5238095238095238,0.125,0.13333333333333333,0.11764705882352941,0.8545918367346939,0.9022108843537416,0.8486394557823129,0.7306523749721237,3.867666158132035,0.023299193723686957,0.053348304562680464,8.855818557404957,,soft_impute,0.1,mar_logistic,4,ok,
pattern_mar_logistic__frac_0p100__seed_4,0.8979591836734694,0.8877551020408163,0.8673469387755102,0.6686543649240924,0.682916520443468,0.572449994185938,0.6428571428571428,0.6071428571428571,0.625,0.4444444444444444,0.35294117647058826,0.38095238095238093,0.8809523809523809,0.8818027210884355,0.8554421768707483,0.7227720840019174,3.4104327601204787,0.02054477566337638,0.04408945886764568,7.318850172029183,,tab_impute,0.1,mar_logistic,4,ok,
