bundle,downstream_r2_linear,downstream_r2_linear_mi_mean,downstream_r2_linear_mi_pooled,downstream_r2_linear_mi_std,downstream_r2_random_forest,downstream_r2_random_forest_mi_mean,downstream_r2_random_forest_mi_pooled,downstream_r2_random_forest_mi_std,downstream_r2_xgboost,downstream_r2_xgboost_mi_mean,downstream_r2_xgboost_mi_pooled,downstream_r2_xgboost_mi_std,imputation_mae,imputation_nmae,imputation_nrmse,imputation_rmse,mae_mi_between_var,mae_mi_mean,mae_mi_std,method,missing_fraction,nmae_mi_between_var,nmae_mi_mean,nmae_mi_std,nrmse_mi_between_var,nrmse_mi_mean,nrmse_mi_std,pattern,rmse_mi_between_var,rmse_mi_mean,rmse_mi_std,seed,status
pattern_mar_logistic__frac_0p300__seed_0,0.9777996895413795,,,,0.9835173995095118,,,,0.9776787972513948,,,,4.549007615743878,0.02527226453191043,0.06370745786314888,11.467342415366797,,,,soft_impute,0.3,,,,,,,mar_logistic,,,,0,ok
pattern_mar_logistic__frac_0p300__seed_0,,0.48882531376608984,0.5797082707458406,0.0576317492652821,,0.6271814723916779,0.7151858487809832,0.04237524903371192,,0.594698969696347,0.7059317060687256,0.060596904962379385,,,,,0.006411176686753223,4.816033982058148,0.0653767373854708,mi_gaussian,0.3,1.9787582366522348e-07,0.026755744344767487,0.00036320409658594936,2.010645142577365e-06,0.0599487283471636,0.0011577694481422357,mar_logistic,0.06514490261950659,10.79077110248945,0.20839850066560234,0,ok
pattern_mar_logistic__frac_0p400__seed_0,-0.0349668363107698,,,,0.4982358509681546,,,,0.44859506805670313,,,,32.616625982677164,0.1812034776815398,0.21543073586188813,38.77753245513986,,,,global_mean,0.4,,,,,,,mar_logistic,,,,0,ok
pattern_mar_logistic__frac_0p400__seed_0,-0.05649872066702932,,,,0.44382692213228747,,,,0.46812005998276296,,,,35.09975549997928,0.19499864166655156,0.23233927362804607,41.82106925304829,,,,row_mean,0.4,,,,,,,mar_logistic,,,,0,ok
pattern_mar_logistic__frac_0p400__seed_0,0.9750286275256917,,,,0.9772318929305407,,,,0.9761933157836546,,,,4.971422619810009,0.02761901455450005,0.06919065849019104,12.454318528234387,,,,soft_impute,0.4,,,,,,,mar_logistic,,,,0,ok
pattern_mar_logistic__frac_0p400__seed_0,,0.09946638212253693,0.2754962045950222,0.08953561800541603,,0.23271176967039542,0.3773867281643053,0.09806706652090054,,0.20018324303985405,0.35771768454400354,0.1362080867556791,,,,,0.037708193784759154,4.990639744188395,0.15855218653965672,mi_gaussian,0.4,1.1638331415049115e-06,0.027725776356602196,0.0008808454807758705,5.635575085219737e-06,0.061761349008111234,0.0019383111351929953,mar_logistic,0.18259263276111964,11.117042821460023,0.34889600433473933,0,ok
pattern_mar_logistic__frac_0p500__seed_0,0.029024526853614674,,,,0.4072025042710039,,,,0.31357408585928137,,,,33.28424657315903,0.1849124809619946,0.2206904559050625,39.72428206291125,,,,global_mean,0.5,,,,,,,mar_logistic,,,,0,ok
pattern_mar_logistic__frac_0p500__seed_0,0.06002203285396068,,,,0.4457689276800777,,,,0.47295739332276066,,,,35.558109076105566,0.1975450504228087,0.2378760477983676,42.817688603706166,,,,row_mean,0.5,,,,,,,mar_logistic,,,,0,ok
pattern_mar_logistic__frac_0p500__seed_0,0.9761626165677949,,,,0.986371499311944,,,,0.9806483493014724,,,,6.819837579204766,0.037887986551137585,0.09278453043144078,16.70121547765934,,,,soft_impute,0.5,,,,,,,mar_logistic,,,,0,ok
pattern_mar_logistic__frac_0p500__seed_0,,0.21163412716202804,0.39166719340225387,0.07596625816339207,,0.2834198982423573,0.39997731578298945,0.07405286800307338,,0.27940224861632057,0.40775223039940256,0.05427912504079778,,,,,0.0043259461898643055,5.0570776701956905,0.053702552328322384,mi_gaussian,0.5,1.3351685771186055e-07,0.028094875945531617,0.0002983475129351235,4.983639983556755e-08,0.06283821010996671,0.00018227524943624417,mar_logistic,0.0016146993546724418,11.310877819794007,0.032809544898524494,0,ok
pattern_mar_logistic__frac_0p600__seed_0,-0.053914487060464644,,,,0.1714282101907737,,,,0.05059773374500598,,,,33.584889920342874,0.13843730387610417,0.16310427981517006,39.56909828316026,,,,global_mean,0.6,,,,,,,mar_logistic,,,,0,ok
pattern_mar_logistic__frac_0p600__seed_0,0.10118829778156857,,,,0.39683084170377847,,,,0.4504943980553874,,,,37.777607823857686,0.15571973546520068,0.18632331583694617,45.202036422043136,,,,row_mean,0.6,,,,,,,mar_logistic,,,,0,ok
pattern_mar_logistic__frac_0p600__seed_0,0.9679236216146407,,,,0.9803770801503972,,,,0.9835923611858803,,,,8.432691094080614,0.03475965001682034,0.08457614306953731,20.51817230866975,,,,soft_impute,0.6,,,,,,,mar_logistic,,,,0,ok
pattern_mar_logistic__frac_0p600__seed_0,,0.07013922198730327,0.18474964458429666,0.1337122801556147,,0.16869026102785836,0.25175497396864854,0.08910731272837871,,0.08550957235648042,0.20008543381109634,0.13027462747576554,,,,,0.0021859838521297846,4.955716297924771,0.038174894473809916,mi_gaussian,0.6,3.714200605235274e-08,0.020427519777101288,0.00015735735562163962,5.21533680145043e-07,0.04551503226624402,0.0005896516938809685,mar_logistic,0.03069473957685338,11.041946827790797,0.1430495009355232,0,ok
pattern_mar_logistic__frac_0p700__seed_0,0.021648130944093458,,,,0.08027519899776403,,,,0.11008255322846583,,,,34.606117172346906,0.14264681439549426,0.16456729732442735,39.924026330906074,,,,global_mean,0.7,,,,,,,mar_logistic,,,,0,ok
pattern_mar_logistic__frac_0p700__seed_0,0.15232879731342175,,,,0.5698188444271077,,,,0.5937152943419854,,,,41.635945600537745,0.17162384831219185,0.2027718951143158,49.19246175473301,,,,row_mean,0.7,,,,,,,mar_logistic,,,,0,ok
pattern_mar_logistic__frac_0p700__seed_0,0.9627859621865196,,,,0.9866538543777337,,,,0.9895858798839855,,,,10.547098005052275,0.04347525970755266,0.10242571700347942,24.848478945044107,,,,soft_impute,0.7,,,,,,,mar_logistic,,,,0,ok
pattern_mar_logistic__frac_0p700__seed_0,,0.08507331608317159,0.1854166102043746,0.012421765105380553,,0.11217032329602324,0.22701711347165088,0.045785673129761374,,0.08894669723284161,0.2510223209137934,0.06721467843618212,,,,,0.00381618772637608,4.866629630549709,0.05043932147558477,mi_gaussian,0.7,6.484076608886108e-08,0.020060303505975718,0.00020791146527446256,1.574072122288911e-07,0.045040381979142785,0.0003239415710987514,mar_logistic,0.009264163698000413,10.926796668140037,0.07858822514855693,0,ok
